City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kaitangata,-46.2817,169.8464,57.99,65.0,3.0,8.01,NZ,1613080237.0
albany,42.6001,-73.9662,27.0,41.0,63.0,5.01,US,1613080042.0
rikitea,-23.1203,-134.9692,79.09,71.0,82.0,8.52,PF,1613080232.0
podor,16.6527,-14.9587,82.4,28.0,0.0,2.3,MR,1613080812.0
hobart,-42.8794,147.3294,64.99,48.0,20.0,17.27,AU,1613080683.0
hilo,19.7297,-155.09,75.2,69.0,90.0,6.35,US,1613080816.0
punta arenas,-53.15,-70.9167,59.0,44.0,20.0,26.46,CL,1613080818.0
asau,46.4333,26.4,24.01,70.0,100.0,1.43,RO,1613080819.0
severo-kurilsk,50.6789,156.125,29.25,92.0,100.0,8.61,RU,1613080286.0
henties bay,-22.116,14.2845,70.0,86.0,92.0,1.16,NA,1613080821.0
bluff,-46.6,168.3333,54.82,70.0,44.0,9.73,NZ,1613080245.0
haines junction,60.7522,-137.5108,-13.0,44.0,9.0,2.3,CA,1613080252.0
tiksi,71.6872,128.8694,-8.68,88.0,59.0,8.21,RU,1613080244.0
mataura,-46.1927,168.8643,58.08,56.0,1.0,3.04,NZ,1613080230.0
clyde river,70.4692,-68.5914,6.8,92.0,29.0,37.98,CA,1613080261.0
tuktoyaktuk,69.4541,-133.0374,-7.6,84.0,40.0,17.27,CA,1613080251.0
kishi,9.0833,3.85,79.05,44.0,13.0,4.5,NG,1613080822.0
olmos,-5.9847,-79.7453,86.32,47.0,100.0,12.12,PE,1613080823.0
busselton,-33.65,115.3333,48.0,96.0,0.0,8.72,AU,1613080241.0
tartagal,-22.5164,-63.8013,72.12,90.0,31.0,3.94,AR,1613080668.0
hermanus,-34.4187,19.2345,72.0,87.0,14.0,1.01,ZA,1613080235.0
kapaa,22.0752,-159.319,75.99,57.0,20.0,10.36,US,1613080179.0
chabahar,25.2919,60.643,70.34,46.0,0.0,5.64,IR,1613080824.0
ushuaia,-54.8,-68.3,51.8,82.0,75.0,8.05,AR,1613080126.0
paamiut,61.994,-49.6678,25.92,86.0,60.0,8.23,GL,1613080825.0
hami,42.8,93.45,30.67,78.0,70.0,6.73,CN,1613080825.0
labuhan,-6.8844,112.2051,76.73,87.0,99.0,7.65,ID,1613080287.0
vetluzhskiy,58.3902,45.4654,1.38,94.0,100.0,5.06,RU,1613080826.0
new norfolk,-42.7826,147.0587,64.0,69.0,14.0,1.01,AU,1613080270.0
negombo,7.2083,79.8358,71.6,78.0,0.0,6.91,LK,1613080246.0
nikolskoye,59.7035,30.7861,6.01,85.0,90.0,11.18,RU,1613080264.0
sitka,57.0531,-135.33,30.2,24.0,1.0,9.22,US,1613080253.0
ayan,56.45,138.1667,16.11,96.0,97.0,5.57,RU,1613080827.0
victor harbor,-35.5667,138.6167,62.01,80.0,70.0,8.86,AU,1613080244.0
upernavik,72.7868,-56.1549,2.07,86.0,80.0,7.96,GL,1613080246.0
otavi,-19.65,17.3333,65.23,93.0,100.0,4.21,NA,1613080828.0
kozelsk,54.0375,35.7716,8.6,85.0,100.0,8.95,RU,1613080828.0
carnarvon,-24.8667,113.6333,73.4,83.0,95.0,17.27,AU,1613080257.0
outlook,51.5001,-107.0513,-20.0,62.0,82.0,18.41,CA,1613080829.0
barrow,71.2906,-156.7887,-45.4,83.0,1.0,10.36,US,1613080273.0
somerset east,-32.7217,25.588,74.07,62.0,99.0,12.41,ZA,1613080831.0
jamestown,42.097,-79.2353,23.0,58.0,1.0,6.91,US,1613080232.0
port lincoln,-34.7333,135.8667,62.22,69.0,81.0,11.56,AU,1613080279.0
isangel,-19.55,169.2667,84.2,79.0,40.0,2.71,VU,1613080263.0
butaritari,3.0707,172.7902,81.63,76.0,44.0,15.19,KI,1613080122.0
tevriz,57.509,72.4042,-23.31,87.0,44.0,3.69,RU,1613080832.0
verkhoshizhemye,58.011,49.1038,-1.1,92.0,100.0,8.28,RU,1613080838.0
lagoa,39.05,-27.9833,60.1,82.0,100.0,27.47,PT,1613080292.0
puerto ayora,-0.7393,-90.3518,78.8,83.0,75.0,2.3,EC,1613080120.0
ponta delgada,37.7333,-25.6667,61.0,82.0,40.0,20.71,PT,1613080840.0
saint-philippe,-21.3585,55.7679,78.8,65.0,0.0,5.75,RE,1613080254.0
atuona,-9.8,-139.0333,79.23,73.0,0.0,12.12,PF,1613080841.0
aklavik,68.2191,-135.0107,-20.2,69.0,20.0,9.22,CA,1613080270.0
lebu,-37.6167,-73.65,62.67,82.0,32.0,13.15,CL,1613080244.0
dikson,73.5069,80.5464,-15.3,89.0,100.0,3.24,RU,1613080249.0
vila velha,-20.3297,-40.2925,84.0,78.0,75.0,5.75,BR,1613080842.0
yar-sale,66.8333,70.8333,-18.22,87.0,90.0,9.28,RU,1613080288.0
norman wells,65.282,-126.8329,-0.4,71.0,1.0,12.66,CA,1613080844.0
ponta do sol,32.6667,-17.1,60.01,73.0,64.0,3.0,PT,1613080590.0
tual,-5.6667,132.75,83.59,77.0,100.0,10.92,ID,1613080845.0
san ignacio,17.1561,-89.0714,91.4,46.0,40.0,4.61,BZ,1613080847.0
solnechnyy,50.7214,136.6319,3.25,90.0,36.0,0.6,RU,1613080847.0
poum,-20.2333,164.0167,79.05,72.0,0.0,8.9,NC,1613080591.0
mahibadhoo,3.7833,72.9667,79.7,77.0,0.0,15.17,MV,1613080261.0
lorain,41.3334,-82.1499,25.0,73.0,90.0,9.22,US,1613080571.0
mglin,53.0591,32.8475,10.72,96.0,100.0,15.88,RU,1613080849.0
beyneu,45.3167,55.2,37.04,78.0,1.0,13.35,KZ,1613080850.0
nabire,-3.3667,135.4833,76.89,88.0,100.0,2.51,ID,1613080850.0
antofagasta,-23.65,-70.4,71.6,73.0,20.0,16.11,CL,1613080646.0
souillac,-20.5167,57.5167,78.8,78.0,75.0,10.36,MU,1613080266.0
lubao,14.9167,120.55,75.2,88.0,75.0,2.3,PH,1613080851.0
bredasdorp,-34.5322,20.0403,71.6,88.0,84.0,4.61,ZA,1613080853.0
chuy,-33.6971,-53.4616,70.7,88.0,100.0,13.42,UY,1613080254.0
palmer,42.1584,-72.3287,27.0,43.0,20.0,18.41,US,1613080084.0
olafsvik,64.8945,-23.7142,38.23,76.0,100.0,15.46,IS,1613080260.0
penzance,50.1186,-5.5371,37.0,93.0,90.0,28.77,GB,1613080854.0
angoche,-16.2325,39.9086,75.81,94.0,100.0,7.56,MZ,1613080854.0
mujiayingzi,42.1167,118.7833,23.43,88.0,0.0,6.13,CN,1613080855.0
tasiilaq,65.6145,-37.6368,17.6,67.0,90.0,4.61,GL,1613080594.0
pacific grove,36.6177,-121.9166,57.0,71.0,1.0,3.44,US,1613080261.0
sinazongwe,-17.2614,27.4618,75.09,82.0,100.0,2.13,ZM,1613080856.0
nemuro,43.3236,145.575,24.85,91.0,15.0,19.77,JP,1613080605.0
fairbanks,64.8378,-147.7164,17.01,78.0,20.0,1.95,US,1613080202.0
port elizabeth,-33.918,25.5701,71.6,94.0,40.0,4.61,ZA,1613080856.0
saskylakh,71.9167,114.0833,-14.21,86.0,100.0,3.0,RU,1613080265.0
tabas,33.5959,56.9244,53.6,24.0,0.0,4.61,IR,1613080857.0
sangar,63.9242,127.4739,6.21,95.0,100.0,1.72,RU,1613080858.0
pajacuaran,20.1167,-102.5667,76.1,19.0,0.0,10.2,MX,1613080858.0
gaoual,11.75,-13.2,82.98,20.0,99.0,4.7,GN,1613080859.0
codrington,-38.2667,141.9667,61.99,67.0,100.0,12.66,AU,1613080859.0
tura,25.5198,90.2201,60.85,47.0,6.0,2.28,IN,1613080303.0
kahului,20.8947,-156.47,78.8,53.0,20.0,13.8,US,1613080864.0
pevek,69.7008,170.3133,-23.35,86.0,37.0,1.74,RU,1613080864.0
la ronge,55.1001,-105.2842,-20.2,57.0,100.0,9.22,CA,1613080272.0
limbang,4.75,115.0,78.8,94.0,75.0,2.3,MY,1613080865.0
taseyevo,57.2169,94.8978,-12.26,88.0,100.0,4.72,RU,1613080865.0
fonte boa,-2.4959,-66.2662,86.23,65.0,26.0,2.08,BR,1613080865.0
husavik,66.0449,-17.3389,26.6,86.0,0.0,3.44,IS,1613080865.0
salina,38.8403,-97.6114,17.6,49.0,90.0,13.8,US,1613080705.0
kavieng,-2.5744,150.7967,82.08,78.0,94.0,14.94,PG,1613080866.0
piterka,50.6803,47.4454,31.89,99.0,99.0,6.02,RU,1613080692.0
dingle,10.9995,122.6711,75.43,89.0,90.0,1.92,PH,1613080866.0
shadegan,30.6497,48.6647,57.2,77.0,0.0,4.61,IR,1613080866.0
meulaboh,4.1363,96.1285,77.36,87.0,40.0,4.97,ID,1613080303.0
parana,-31.732,-60.5238,76.62,53.0,96.0,8.43,AR,1613080609.0
bengkulu,-3.8004,102.2655,75.97,84.0,100.0,4.03,ID,1613080867.0
muros,42.7762,-9.0603,55.99,90.0,100.0,5.01,ES,1613080287.0
kargasok,59.0556,80.8572,-14.17,87.0,100.0,10.02,RU,1613080867.0
ohara,35.25,140.3833,44.6,80.0,75.0,4.61,JP,1613080868.0
shakawe,-18.3667,21.85,63.1,88.0,100.0,4.81,BW,1613080868.0
laurel,39.0993,-76.8483,33.01,93.0,90.0,5.75,US,1613080701.0
vangaindrano,-23.35,47.6,75.25,89.0,100.0,5.06,MG,1613080868.0
san cristobal,7.7669,-72.225,86.0,51.0,40.0,11.5,VE,1613080298.0
cape town,-33.9258,18.4232,72.0,94.0,20.0,16.11,ZA,1613080868.0
egvekinot,66.3167,-179.1667,-23.01,84.0,0.0,9.04,RU,1613080869.0
batagay-alyta,67.8006,130.4114,-12.46,84.0,72.0,2.24,RU,1613080869.0
broome,42.2506,-75.833,24.01,58.0,90.0,9.22,US,1613080313.0
georgetown,5.4112,100.3354,80.6,83.0,40.0,2.3,MY,1613080616.0
yamada,39.4667,141.95,28.09,88.0,0.0,4.54,JP,1613080273.0
khatanga,71.9667,102.5,-24.02,87.0,91.0,4.54,RU,1613080869.0
flinders,-34.5833,150.8552,71.01,85.0,90.0,1.01,AU,1613080869.0
thompson,55.7435,-97.8558,-20.2,69.0,75.0,5.75,CA,1613080275.0
beatrice,40.2681,-96.747,8.6,61.0,90.0,12.66,US,1613080870.0
arman,59.7,150.1667,11.93,87.0,0.0,6.13,RU,1613080871.0
matara,5.9485,80.5353,71.94,88.0,98.0,2.66,LK,1613080871.0
castro,-24.7911,-50.0119,63.5,93.0,94.0,5.14,BR,1613080871.0
longyearbyen,78.2186,15.6401,-0.4,78.0,20.0,12.66,SJ,1613080650.0
yantal,56.8471,105.2542,-13.99,85.0,99.0,2.33,RU,1613080872.0
urengoy,65.9667,78.3667,-34.73,82.0,0.0,3.96,RU,1613080284.0
vaini,-21.2,-175.2,86.0,79.0,75.0,6.91,TO,1613080872.0
maningrida,-12.0667,134.2667,79.43,87.0,99.0,7.54,AU,1613080872.0
warrington,53.3925,-2.5802,32.0,74.0,0.0,16.11,GB,1613080872.0
mogok,22.9167,96.5,56.23,50.0,0.0,2.77,MM,1613080873.0
antalaha,-14.9003,50.2788,75.81,88.0,99.0,4.63,MG,1613080308.0
srednekolymsk,67.45,153.6833,-25.87,86.0,25.0,4.68,RU,1613080307.0
cherskiy,68.75,161.3,-24.0,85.0,0.0,0.76,RU,1613080275.0
severnyy,50.677,36.5532,32.0,100.0,90.0,13.42,RU,1613080873.0
erzin,36.9559,36.2,55.99,87.0,9.0,4.0,TR,1613080873.0
faanui,-16.4833,-151.75,82.49,68.0,0.0,14.0,PF,1613080621.0
george,-33.963,22.4617,71.6,100.0,75.0,6.91,ZA,1613080879.0
zhezkazgan,47.8043,67.7144,6.3,88.0,99.0,5.41,KZ,1613080879.0
diourbel,14.6628,-16.3925,86.0,23.0,5.0,6.91,SN,1613080879.0
arraial do cabo,-22.9661,-42.0278,77.0,83.0,75.0,8.05,BR,1613080807.0
sao joao da barra,-21.6403,-41.0511,78.8,78.0,75.0,11.5,BR,1613080879.0
sept-iles,50.2001,-66.3821,18.0,92.0,90.0,2.3,CA,1613080215.0
bathsheba,13.2167,-59.5167,80.6,61.0,40.0,20.71,BB,1613080880.0
avarua,-21.2078,-159.775,75.2,83.0,90.0,8.05,CK,1613080640.0
kodiak,57.79,-152.4072,37.4,87.0,90.0,44.87,US,1613080590.0
hasaki,35.7333,140.8333,33.8,80.0,75.0,4.61,JP,1613080880.0
hithadhoo,-0.6,73.0833,81.16,81.0,12.0,15.73,MV,1613080594.0
cidreira,-30.1811,-50.2056,74.86,81.0,81.0,13.44,BR,1613080881.0
yellowknife,62.456,-114.3525,-5.01,77.0,20.0,14.97,CA,1613080881.0
east london,-33.0153,27.9116,75.29,85.0,1.0,15.21,ZA,1613080882.0
okakarara,-20.5833,17.4333,65.34,92.0,100.0,3.83,NA,1613080882.0
ilulissat,69.2167,-51.1,10.4,67.0,90.0,17.27,GL,1613080294.0
thinadhoo,0.5333,72.9333,81.0,78.0,14.0,15.84,MV,1613080882.0
bakchar,57.0186,82.0711,-24.25,85.0,39.0,6.78,RU,1613080883.0
great yarmouth,52.6083,1.7305,33.01,86.0,14.0,6.91,GB,1613080883.0
moose factory,51.2585,-80.6094,-2.2,50.0,1.0,9.22,CA,1613080883.0
lensk,60.7253,114.9278,-17.28,84.0,84.0,2.55,RU,1613080883.0
hiriyur,13.9456,76.6192,63.54,51.0,99.0,7.4,IN,1613080884.0
huilong,31.8111,121.655,52.0,90.0,59.0,3.0,CN,1613080884.0
forestville,38.8451,-76.875,34.0,86.0,90.0,8.05,US,1613080884.0
darhan,49.4867,105.9228,-0.08,86.0,97.0,3.2,MN,1613080884.0
zilair,52.2332,57.4392,9.0,95.0,100.0,6.2,RU,1613080885.0
namatanai,-3.6667,152.4333,80.38,82.0,93.0,4.12,PG,1613080885.0
saint george,37.1041,-113.5841,66.0,29.0,1.0,5.84,US,1613080649.0
guymon,36.6828,-101.4816,21.2,68.0,90.0,6.91,US,1613080885.0
verkhoyansk,67.5447,133.385,-16.67,82.0,75.0,1.68,RU,1613080885.0
rocha,-34.4833,-54.3333,69.13,90.0,100.0,10.22,UY,1613080886.0
avdiyivka,48.1399,37.7426,44.19,87.0,100.0,17.34,UA,1613080886.0
isabela,6.7085,121.9711,75.2,94.0,40.0,1.52,PH,1613080886.0
baswa,27.15,76.5833,58.71,46.0,78.0,2.51,IN,1613080886.0
hualmay,-11.0964,-77.6139,76.93,64.0,52.0,9.73,PE,1613080887.0
sarahan,31.5167,77.8,39.43,49.0,39.0,8.34,IN,1613080887.0
san francisco,37.7749,-122.4194,57.0,76.0,75.0,13.8,US,1613080553.0
hambantota,6.1241,81.1185,72.28,79.0,64.0,10.49,LK,1613080887.0
rylsk,51.5655,34.6822,26.15,98.0,100.0,11.25,RU,1613080887.0
astana,51.1801,71.446,-0.4,78.0,0.0,4.47,KZ,1613080030.0
skjervoy,70.0311,20.9714,30.85,91.0,81.0,19.19,NO,1613080887.0
gimli,50.6336,-96.9907,-14.8,44.0,86.0,8.05,CA,1613080806.0
provideniya,64.3833,-173.3,-5.8,65.0,0.0,24.61,RU,1613080647.0
viransehir,37.2353,39.7631,49.73,63.0,0.0,3.2,TR,1613080893.0
shingu,33.7333,135.9833,45.75,58.0,100.0,4.27,JP,1613080824.0
roma,43.2128,-75.4557,23.0,54.0,90.0,11.5,US,1613080893.0
coahuayana,18.7333,-103.6833,77.0,61.0,40.0,7.09,MX,1613080893.0
north bend,43.4065,-124.2243,48.2,87.0,90.0,5.75,US,1613080726.0
nawalapitiya,7.0559,80.5348,64.31,89.0,68.0,2.1,LK,1613080893.0
tsaratanana,-16.7833,47.65,71.49,87.0,100.0,4.99,MG,1613080894.0
banda aceh,5.5577,95.3222,78.62,78.0,20.0,2.86,ID,1613080694.0
kununurra,-15.7667,128.7333,77.0,100.0,97.0,3.44,AU,1613080894.0
hay river,60.8156,-115.7999,-4.0,71.0,90.0,16.11,CA,1613080296.0
lahij,13.1667,44.5833,70.61,64.0,12.0,4.03,YE,1613080894.0
bilma,18.6853,12.9164,69.55,20.0,33.0,5.3,NE,1613080895.0
iqaluit,63.7506,-68.5145,-2.0,71.0,75.0,19.57,CA,1613080895.0
narsaq,60.9167,-46.05,37.4,28.0,75.0,36.82,GL,1613080895.0
los llanos de aridane,28.6585,-17.9182,64.4,63.0,0.0,5.75,ES,1613080666.0
leningradskiy,69.3833,178.4167,-16.4,86.0,100.0,11.25,RU,1613080895.0
messina,38.1933,15.5497,57.0,67.0,20.0,4.61,IT,1613080896.0
nobres,-14.7203,-56.3275,76.15,90.0,100.0,4.52,BR,1613080896.0
saldanha,-33.0117,17.9442,64.4,88.0,0.0,11.5,ZA,1613080643.0
plettenberg bay,-34.0527,23.3716,72.09,88.0,100.0,1.23,ZA,1613080896.0
talnakh,69.4865,88.3972,-15.09,87.0,96.0,1.92,RU,1613080634.0
cam ranh,11.9214,109.1591,71.6,73.0,40.0,8.05,VN,1613080897.0
ribeira grande,38.5167,-28.7,62.6,82.0,75.0,29.93,PT,1613080897.0
ancud,-41.8697,-73.8203,62.01,88.0,75.0,8.05,CL,1613080897.0
lompoc,34.6391,-120.4579,62.01,63.0,20.0,14.97,US,1613080648.0
bambous virieux,-20.3428,57.7575,80.01,78.0,75.0,10.36,MU,1613080614.0
zeya,53.75,127.2667,18.23,95.0,100.0,13.42,RU,1613080898.0
notodden,59.5594,9.2585,10.0,78.0,0.0,6.22,NO,1613080899.0
muravlenko,63.7898,74.523,-25.83,87.0,73.0,9.71,RU,1613080899.0
weihai,37.5017,122.1136,39.78,85.0,1.0,11.99,CN,1613080900.0
port-cartier,50.0334,-66.8654,18.0,92.0,90.0,2.3,CA,1613080900.0
sur,22.5667,59.5289,68.58,44.0,0.0,4.74,OM,1613080618.0
podosinovets,60.2776,47.0659,0.21,93.0,100.0,6.53,RU,1613080900.0
sal rei,16.1833,-22.9167,68.0,83.0,40.0,16.11,CV,1613080900.0
cody,44.5263,-109.0565,-11.99,76.0,90.0,9.22,US,1613080811.0
gobabis,-22.45,18.9667,68.83,73.0,100.0,6.8,NA,1613080901.0
sao filipe,14.8961,-24.4956,72.07,67.0,0.0,9.91,CV,1613080901.0
chokurdakh,70.6333,147.9167,-21.05,80.0,47.0,2.46,RU,1613080901.0
torbay,47.6666,-52.7314,23.0,93.0,90.0,32.21,CA,1613080632.0
sfantu gheorghe,45.8667,25.7833,25.0,87.0,100.0,3.0,RO,1613080901.0
madimba,-10.4,40.3333,80.13,85.0,100.0,12.53,TZ,1613080901.0
myitkyina,25.3833,97.4,58.05,60.0,0.0,2.28,MM,1613080689.0
udachnyy,66.4167,112.4,-23.62,85.0,33.0,2.51,RU,1613080902.0
bonnyville,54.2668,-110.735,-14.8,58.0,75.0,11.5,CA,1613080902.0
oussouye,12.485,-16.5469,82.4,78.0,0.0,6.91,SN,1613080313.0
ust-kuyga,70.0167,135.6,-13.38,84.0,39.0,4.97,RU,1613080907.0
takoradi,4.8845,-1.7554,80.8,84.0,32.0,11.83,GH,1613080907.0
avera,33.194,-82.5271,68.0,79.0,90.0,6.35,US,1613080907.0
kodinsk,58.6881,99.1844,-17.32,86.0,98.0,4.14,RU,1613080908.0
suifenhe,44.4,131.1667,19.81,93.0,100.0,4.03,CN,1613080908.0
hamilton,39.1834,-84.5333,26.01,58.0,40.0,13.8,US,1613080908.0
tuatapere,-46.1333,167.6833,57.9,51.0,0.0,1.21,NZ,1613080908.0
dunedin,-45.8742,170.5036,57.0,61.0,0.0,8.99,NZ,1613080765.0
gombong,-7.6072,109.5142,76.68,86.0,99.0,2.01,ID,1613080909.0
hirara,24.8,125.2833,68.0,88.0,75.0,16.11,JP,1613080662.0
ihosy,-22.4,46.1167,66.25,92.0,100.0,4.38,MG,1613080909.0
evensk,61.95,159.2333,0.91,83.0,0.0,7.7,RU,1613080909.0
bandarbeyla,9.4942,50.8122,73.6,74.0,85.0,13.27,SO,1613080909.0
seymchan,62.8833,152.4333,-12.48,89.0,25.0,0.92,RU,1613080909.0
zunyi,27.6867,106.9072,45.59,85.0,72.0,1.59,CN,1613080909.0
linxia,35.6003,103.2064,33.22,80.0,36.0,0.56,CN,1613080876.0
airai,-8.9266,125.4092,61.03,100.0,99.0,1.05,TL,1613080775.0
barranca,-10.75,-77.7667,77.2,65.0,26.0,7.78,PE,1613080910.0
conchagua,13.3078,-87.8647,98.6,43.0,0.0,4.61,SV,1613080910.0
necochea,-38.5473,-58.7368,75.99,65.0,71.0,10.0,AR,1613080910.0
rock springs,41.5875,-109.2029,39.2,38.0,40.0,34.52,US,1613080796.0
piney green,34.716,-77.3202,59.0,77.0,90.0,8.05,US,1613080911.0
vallenar,-28.5708,-70.7581,79.47,38.0,0.0,7.2,CL,1613080911.0
tateyama,34.9833,139.8667,43.0,51.0,100.0,3.0,JP,1613080911.0
taungdwingyi,20.0167,95.55,64.29,44.0,0.0,5.41,MM,1613080911.0
taoudenni,22.6783,-3.9836,70.25,18.0,0.0,11.27,ML,1613080642.0
yankton,42.8711,-97.3973,7.0,56.0,40.0,8.05,US,1613080912.0
ambon,-3.6954,128.1814,78.8,89.0,40.0,9.22,ID,1613080912.0
dayong,25.0209,118.2898,62.6,72.0,75.0,4.47,CN,1613080912.0
ust-karsk,52.7011,118.8077,10.31,92.0,100.0,5.68,RU,1613080682.0
caravelas,-17.7125,-39.2481,76.62,81.0,94.0,5.01,BR,1613080912.0
waldkirch,48.0959,7.9637,17.01,92.0,31.0,6.04,DE,1613080913.0
el alto,-4.2714,-81.2147,84.2,54.0,0.0,10.36,PE,1613080913.0
vestmannaeyjar,63.4427,-20.2734,41.4,72.0,100.0,34.52,IS,1613080913.0
chumikan,54.7183,135.315,10.74,96.0,100.0,9.06,RU,1613080913.0
macenta,8.5435,-9.471,74.82,26.0,15.0,2.17,GN,1613080913.0
port macquarie,-31.4333,152.9167,75.0,78.0,82.0,1.01,AU,1613080913.0
beyla,8.6833,-8.6333,77.32,18.0,5.0,3.71,GN,1613080914.0
batemans bay,-35.7167,150.1833,66.99,92.0,74.0,1.01,AU,1613080914.0
yerbogachen,61.2767,108.0108,-20.45,86.0,1.0,3.42,RU,1613080914.0
agadez,19.75,10.25,69.85,20.0,0.0,6.91,NE,1613080914.0
waddan,29.1614,16.139,57.61,65.0,0.0,7.81,LY,1613080914.0
kanchanaburi,14.6333,99.1,69.91,52.0,77.0,2.59,TH,1613080914.0
balikpapan,-1.2675,116.8289,78.8,100.0,75.0,3.44,ID,1613080915.0
fallon,39.4735,-118.7774,53.6,43.0,90.0,4.61,US,1613080915.0
jiuquan,39.7432,98.5174,33.22,74.0,100.0,3.65,CN,1613080915.0
klaksvik,62.2266,-6.589,35.6,69.0,3.0,16.11,FO,1613080921.0
srivardhan,18.0333,73.0167,72.01,49.0,92.0,4.56,IN,1613080921.0
muzhi,65.3667,64.6667,-22.45,83.0,75.0,1.83,RU,1613080921.0
qaanaaq,77.484,-69.3632,7.66,69.0,0.0,8.84,GL,1613080922.0
kapit,2.0167,112.9333,72.46,95.0,99.0,0.51,MY,1613080923.0
